fips_code,data_centers,total_power_usage_kwh,total_carbon_emission_2023_tons
6071,"['One Data Center America', 'One Data Center America', 'One Data Center Ontario']","[33566.97482, 33566.97482, 33566.97482]","[34643.58137, 34643.58137, 34643.58137]"
6073,"['MDC San Diego - SDG1', 'EdgeConneX San Diego - EDCSDG01', 'DataBank SAN1 - San Diego World Trade', 'I2B Networks San Diego', 'LightEdge - San Diego I', 'ScaleMatrix San Diego ', 'Cogent Data Center - San Diego 2', 'Cogent Data Center - San Diego 1', 'DataBank SAN2 - San Diego Aero Drive', 'LightEdge - San Diego II', 'Lumen San Diego 1', 'CARI.net', 'Lumen San Diego 2', 'Cogent Data Center - Stockton', 'OneNeck Madison']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 3918.947368]","[34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137, 34643.58137]"
6075,"['Equinix LA7', 'Equinix LA7', '365 Main Street (SFO12)', 'Fortress Data Centers', 'Novva San Francisco', 'Colocation America SFDC1', 'Data Center 360 Spear Street', 'UnitedLayer San Francisco', 'Data Center 365 Main Street', 'Data Canopy - San Francisco', 'JMA Wired', 'ColoServe 360 Spear', 'Equinix SV8', 'Lumen Philadelphia 3', 'Lumen Philadelphia 2']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 65574.85714, 65574.85714]","[47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325]"
6077,['Nautilus Stockton'],[33566.97482],[47463.53325]
6079,"['H5 Data Centers San Luis Obispo', 'Lumen San Luis Obispo 1', 'Lumen San Luis Obispo 2', 'SBP1']","[33566.97482, 33566.97482, 33566.97482, 33566.97482]","[34643.58137, 34643.58137, 34643.58137, 34643.58137]"
6081,['TierPoint Boston-Charleston'],[20830.76471],[47463.53325]
6083,"['Goleta', 'Lumen Santa Barbara', 'Santa Barbara']","[33566.97482, 33566.97482, 33566.97482]","[34643.58137, 34643.58137, 34643.58137]"
6085,"['2334 Lundy Place (SJC26)', '150 South First St', 'Equinix SV1', 'Equinix SV3', 'Prime San Jose', 'Element Critical Silicon Valley', 'CoreSite San Jose (SV1)', 'QTS Santa Clara I & II', 'Rackspace San Jose', 'Equinix SV11', 'CoreSite Santa Clara (SV2)', 'Equinix SV10', 'STACK Infrastructure SVY01B', 'Evocative SJC7', 'STACK Infrastructure SVY01A', 'ColoCrossing SJ1', 'Equinix SV5', 'H5 Data Centers San Jose', 'STACK Infrastructure SVY06', 'STACK Infrastructure SVY05', 'Synoptek - San Jose Data Center', '2334 Lundy Place (SJC26)', '150 South First St', 'Equinix SV1', 'Equinix SV3', 'Prime San Jose', 'Element Critical Silicon Valley', 'CoreSite San Jose (SV1)', 'QTS Santa Clara I & II', 'Rackspace San Jose', 'Equinix SV11', 'CoreSite Santa Clara (SV2)', 'Equinix SV10', 'STACK Infrastructure SVY01B', 'Evocative SJC7', 'STACK Infrastructure SVY01A', 'ColoCrossing SJ1', 'Equinix SV5', 'H5 Data Centers San Jose', 'STACK Infrastructure SVY06', 'STACK Infrastructure SVY05', 'Synoptek - San Jose Data Center', 'Equinix SV12x', 'Lumen San Jose 2', 'Lumen San Jose', 'NaviSIte San Jose', 'QTS San Jose', 'Centersquare - Silicon Valley SFO3-A', 'Centersquare - Silicon Valley SFO3-B', 'CoreSite Santa Clara (SV6)', '3105 Alfred Rd (SJC30)', '2820 Northwestern Pkwy (SJC34)', '1500 Space Park Dr (SJC14)', '2220 De La Cruz Blvd (SC1)', '641 Walsh Ave (SJC37)', '2403 Walsh St (SJC19)', 'Evocative SJC11', 'CyrusOne SCV1 - Santa Clara', 'Equinix SV2', 'Cologix SV1', 'Deft Silicon Valley', 'STACK Infrastructure SVY02A', 'Datacate Santa Clara', 'EdgeCore Silicon Valley Campus', 'CoreSite Silicon Valley (SV9)', 'Centersquare - Silicon Valley SFO1-A', 'Centersquare - Silicon Valley SFO2-A', 'Colovore SJC02', 'CoreSite Santa Clara (SV8)', 'Vantage CA3 - Santa Clara III', 'Equinix SV17 (NAP West)', 'CloudHQ SJC1', 'Amazon AWS SFO - Mission College Campus', 'CoreSite Santa Clara (SV4)', 'Centersquare - Silicon Valley SFO1-B', 'Centersquare - Silicon Valley SFO2-B', 'China Telecom Santa Clara', 'Equinix SV6', 'CoreSite Santa Clara (SV7)', 'Equinix SV14', 'CoreSite Santa Clara (SV5)', 'Equinix SV15', 'Equinix SV16', 'Amazon AWS SFO - 960 Central', 'Amazon AWS SFO - 2305 Mission A', 'Amazon AWS SFO - 2305 Mission B', 'Vantage CA2 - Building 3', 'SoftLayer - SJC01', 'Tata Communications Santa Clara', 'American Tower EDC Pittsburg', 'Amazon AWS CMH - 6655 Crosby', 'Amazon AWS SFO - Arroyo', 'Amazon AWS SFO - Arroyo']","[33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 33566.97482, 65574.85714, 15153.11538, 33566.97482, 33566.97482]","[47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 47463.53325, 34643.58137, 34643.58137]"
6087,['Got.Net'],[33566.97482],[34643.58137]
6089,['SteelVault OX-1'],[4380.0],[47463.53325]
6099,"['Modesto City Tower', 'Lumen Modesto']","[33566.97482, 33566.97482]","[47463.53325, 47463.53325]"
8001,"['Flexential Atlanta - Alpharetta Data Center', '365 Data Centers - Aurora', 'Thornton Colorado Data Center']","[73516.55952, 27448.0, 27448.0]","[111761.7783, 111761.7783, 111761.7783]"
8005,"['CoreSite Chicago (CH2)', 'Flexential Denver - Centennial Data Center', 'H5 Data Centers Denver', 'QTS Aurora-Denver Campus', 'DataBank DEN5 - Centennial II', 'DataBank DEN2 - Centennial', 'Expedient Centennial', 'Equinix DE1', 'Icelab Networks', 'Lumen Denver 2', '4dv.net']","[49338.91391, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0]","[111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783]"
8013,['Massive Networks-Boulder'],[27448.0],[111761.7783]
8014,['American Tower EDC Boulder'],[27448.0],[111761.7783]
8015,['Fort Stockton Clean Campus'],[78464.60072],[111761.7783]
8031,"['Iron Mountain Data Centers DEN-1', 'Flexential Denver - Downtown Data Center', '1500 Champa', 'CoreSite Denver (DE1)', 'CoreSite Denver (DE2)', 'DataBank DEN3 - Downtown Denver', 'Cogent Data Center - Denver', 'CoreSite Denver (DE3)', 'Lumen Denver 3', 'Data Canopy - Denver', 'Handy Networks', 'DENVER-01', '910Telecom', 'Massive Networks - Denver', 'ColoHouse Colorado Springs', 'Lumen Colorado Springs 2', 'Equinix NY11']","[27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 60274.02985]","[111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783]"
