ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
WI-013,Burnett County,Wisconsin,11,2.9,81,8.1
WI-015,Calumet County,Wisconsin,17.5,2.5,81,15
WI-017,Chippewa County,Wisconsin,12.3,2,72,10.3
WI-019,Clark County,Wisconsin,12.1,1.6,70,10.5
WI-021,Columbia County,Wisconsin,17.4,1.8,71,15.6
WI-023,Crawford County,Wisconsin,16.8,1.3,63,15.5
WI-025,Dane County,Wisconsin,18.4,1.7,69,16.7
WI-027,Dodge County,Wisconsin,17.4,1,63,16.4
WI-029,Door County,Wisconsin,18.2,1.6,73,16.6
WI-031,Douglas County,Wisconsin,9.8,2.2,74,7.6
WI-033,Dunn County,Wisconsin,12.2,1.5,70,10.7
WI-035,Eau Claire County,Wisconsin,13.2,2.2,74,11
WI-037,Florence County,Wisconsin,11.6,1.2,74,10.4
WI-039,Fond du Lac County,Wisconsin,17.3,1.8,71,15.5
WI-041,Forest County,Wisconsin,11,1.3,73,9.7
WI-043,Grant County,Wisconsin,17.4,0.8,60,16.6
WI-045,Green County,Wisconsin,18.6,1.1,66,17.5
WI-047,Green Lake County,Wisconsin,16.9,1.8,71,15.1
WI-049,Iowa County,Wisconsin,18.1,2,75,16.1
WI-051,Iron County,Wisconsin,10.3,1.7,73,8.6
WI-053,Jackson County,Wisconsin,14.1,2.4,76,11.7
WI-055,Jefferson County,Wisconsin,18.5,0.8,59,17.7
WI-057,Juneau County,Wisconsin,15.4,2,73,13.4
WI-059,Kenosha County,Wisconsin,20.3,0.2,56,20.1
WI-061,Kewaunee County,Wisconsin,18.2,2.2,80,16
WI-063,La Crosse County,Wisconsin,16.4,2.6,78,13.8
WI-065,Lafayette County,Wisconsin,17.6,0.6,61,17
WI-067,Langlade County,Wisconsin,11.5,1.6,74,9.9
WI-069,Lincoln County,Wisconsin,10.9,1.1,64,9.8
WI-071,Manitowoc County,Wisconsin,18.5,2.2,81,16.3
WI-073,Marathon County,Wisconsin,12.6,1.8,73,10.8
WI-075,Marinette County,Wisconsin,15,1.8,77,13.2
WI-077,Marquette County,Wisconsin,16.7,2,75,14.7
WI-078,Menominee County,Wisconsin,14.6,2.8,84,11.8
WI-079,Milwaukee County,Wisconsin,19.6,-0.1,54,19.7
WI-081,Monroe County,Wisconsin,14.9,2,73,12.9
WI-083,Oconto County,Wisconsin,15.9,2.5,83,13.4
WI-085,Oneida County,Wisconsin,10.1,0.7,64,9.4
WI-087,Outagamie County,Wisconsin,17.5,3.2,87,14.3
WI-089,Ozaukee County,Wisconsin,17.9,-0.4,50,18.3
WI-091,Pepin County,Wisconsin,13.5,1.3,67,12.2
WI-093,Pierce County,Wisconsin,13.6,2.5,78,11.1
WI-095,Polk County,Wisconsin,11.7,2.7,79,9
WI-097,Portage County,Wisconsin,14.5,2.2,74,12.3
WI-099,Price County,Wisconsin,10,1.3,70,8.7
WI-101,Racine County,Wisconsin,19.8,0.2,57,19.6
WI-103,Richland County,Wisconsin,17.4,2.1,76,15.3
WI-105,Rock County,Wisconsin,19,0.7,61,18.3
WI-107,Rusk County,Wisconsin,10.9,1.5,68,9.4
WI-109,St. Croix County,Wisconsin,12.8,2.6,79,10.2
WI-111,Sauk County,Wisconsin,17.5,2.3,76,15.2
WI-113,Sawyer County,Wisconsin,9.6,1.8,74,7.8
WI-115,Shawano County,Wisconsin,15.2,2.8,85,12.4
WI-117,Sheboygan County,Wisconsin,18.4,1.5,69,16.9
WI-119,Taylor County,Wisconsin,10.8,1.2,67,9.6
WI-121,Trempealeau County,Wisconsin,15.4,3.1,82,12.3
WI-123,Vernon County,Wisconsin,15.4,1.3,63,14.1
WI-125,Vilas County,Wisconsin,9.6,0.7,68,8.9
WI-127,Walworth County,Wisconsin,17.6,-0.8,44,18.4
WI-129,Washburn County,Wisconsin,9.8,1.9,73,7.9
WI-131,Washington County,Wisconsin,16.5,-0,52,16.5
WI-133,Waukesha County,Wisconsin,18,0.3,57,17.7
WI-135,Waupaca County,Wisconsin,16.4,3,88,13.4
WI-137,Waushara County,Wisconsin,16.4,2.6,82,13.8
WI-139,Winnebago County,Wisconsin,17.5,2.5,80,15
WI-141,Wood County,Wisconsin,14.1,2,73,12.1
WY-001,Albany County,Wyoming,15.2,-4.3,16,19.5
WY-003,Big Horn County,Wyoming,18.9,2.7,78,16.2
WY-005,Campbell County,Wyoming,18.4,-1,46,19.4
WY-007,Carbon County,Wyoming,14.6,-4.2,18,18.8
WY-009,Converse County,Wyoming,17.9,-3.4,25,21.3
WY-011,Crook County,Wyoming,16.9,-1.8,41,18.7
WY-013,Fremont County,Wyoming,15.7,-1.4,35,17.1
WY-015,Goshen County,Wyoming,22.3,-1.9,38,24.2
WY-017,Hot Springs County,Wyoming,20,1.1,62,18.9
WY-019,Johnson County,Wyoming,19.4,-0.8,40,20.2
WY-021,Laramie County,Wyoming,21.7,-3,26,24.7
WY-023,Lincoln County,Wyoming,13.3,-2.7,30,16
WY-025,Natrona County,Wyoming,17.6,-2.4,30,20
WY-027,Niobrara County,Wyoming,18.3,-2.4,33,20.7
WY-029,Park County,Wyoming,17.2,0.1,50,17.1
WY-031,Platte County,Wyoming,21.3,-2.9,26,24.2
WY-033,Sheridan County,Wyoming,19.8,1.3,58,18.5
WY-035,Sublette County,Wyoming,10.8,-1.7,35,12.5
WY-037,Sweetwater County,Wyoming,16.7,-0.9,55,17.6
WY-039,Teton County,Wyoming,11.8,-2.2,32,14
WY-041,Uinta County,Wyoming,16.3,-1.9,39,18.2
WY-043,Washakie County,Wyoming,19.8,1.8,69,18
WY-045,Weston County,Wyoming,16.6,-2.1,39,18.7
