fips_code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
18131,6,4,8,3,712,927,1298,1191,409,617,2539,3449,3591,4073,4195,4070,3468,2838,2241,1829,1408,913,5.9,8,7.5,10.4,17.9,24.4,24.0897591,29.22159807,45,45.1,46.14453855,46.65825977,28.1,20.2,15.48784512,10.4665826,8.9,10.3,14.27785722,13.65355956,36.6,44.8,50,36.8,520,798,1430,2209,2190,2549
18133,1,1,6,2,2090,2981,4096,5041,1262,1978,5417,7862,8389,10956,9939,9778,6397,4900,4415,4270,3533,2327,8.9,12.1,7.7,9.9,19.2,19.9,28.8110868,32.37358997,45.5,48.2,40.27473863,38.56590676,23.9,18.8,14.31639517,9.178038968,11.3,13.1,16.5977794,19.88246431,38.2,48.1,45.1,30,1093,1613,3543,4533,7110,8208
18135,6,6,6,6,1517,1814,2156,2453,732,1381,6591,8460,8278,8701,8070,7500,7860,6272,4980,3730,2517,1595,4.5,7.8,6.4,8.6,16.5,22.2,28.40609023,32.17830504,46.8,47.5,45.33962582,44.04768896,28.1,20.4,14.14124389,9.367475186,8.6,9.9,12.11304006,14.4065308,40.7,48,48.5,35.6,1031,1516,2919,4065,5056,5479
18137,6,4,6,3,1505,1962,2824,3840,478,1064,3954,5932,6876,7967,8754,8374,6450,6032,4781,3586,2648,1860,4.2,7.7,5,6.1,14.1,20.6,24.98022465,29.05177194,44.9,46.8,46.16358171,42.21404446,31.2,21.1,13.96403523,9.376417805,9.8,11.5,14.89215841,19.35776579,34.5,42.8,56.3,43.5,572,840,2169,3512,4737,5763
18139,6,4,6,3,992,1239,1627,1974,522,839,4277,5237,5491,6123,5763,5278,5431,4193,3012,2447,1506,1079,4.8,7.5,6.8,8.2,16.7,18.4,24.0890861,29.26642894,48.1,50.9,49.1765509,44.81236203,26.4,20.4,12.85092585,9.161147903,8.7,10.3,13.88343715,16.76006113,39,46.8,49.5,37.5,741,916,1909,2211,2823,3447
18141,2,2,2,4,29689,39238,45240,58089,12558,20575,47010,56411,53175,53901,54979,52878,60275,45707,36969,29235,20849,15678,9.6,14.6,8.6,12.9,22.4,26.3,29.12746963,28.87270154,34.4,32.5,32.18439924,29.69773215,23.9,17.6,12.20488804,8.80519393,19.2,23.6,26.48324309,32.62437238,35.9,40,46,32.4,11256,18218,34610,43686,49757,51409
18143,1,1,6,3,868,1302,1658,2104,413,602,2485,4173,5030,6273,6875,7301,5379,5842,5225,4228,3762,2716,4.7,5.3,5.5,6.5,14.8,20,24.54277648,28.7628563,38.5,42.5,42.19344544,42.90919777,40,28.6,23.08825334,15.96238613,6.6,8.8,10.17552473,12.3655598,28.4,36.7,61.4,51.4,486,741,1937,2957,3999,4894
18145,1,1,1,1,2537,3613,4646,6140,1144,1966,7568,10431,11383,12672,13070,13065,10163,8416,6620,5715,4078,3047,5.6,8.5,7.2,9.6,19.7,22.4,27.43557302,29.62681847,44.5,44.7,43.51734701,41.31878558,25.9,20.2,13.577945,9.636306135,9.9,12.7,15.46913498,19.41808982,37.2,45.3,50,36.6,1465,2210,5045,6351,8240,9368
18147,8,7,8,6,1146,1751,2218,3008,453,942,3023,4580,5515,5769,6511,5430,5299,4624,3512,2541,1953,980,4.9,8.4,5.8,9.5,18.7,25.4,26.75534833,33.48400311,44.1,42.8,44.64481624,38.35016597,28.1,18.8,13.39138782,6.921392754,9.2,13,15.20844761,21.24443817,32.4,40.8,56.9,41.2,541,1068,2336,3430,3902,4741
18149,6,4,8,3,854,1286,1856,2047,374,818,3389,4660,5482,6640,7096,7104,5971,5963,5716,4285,3001,2307,3.6,6.5,5.8,9.1,15.5,20.1,24.35767624,29.70983375,38.4,43.4,44.90570814,43.58014846,40.1,28,18.99126693,14.15250598,6,8.4,11.74534869,12.55751181,32.8,37,57.8,47.4,594,1142,2208,3079,3849,4843
