fips_code,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2023
1111,16.7,789,,,16.4,571,11.9,2628,52026,33.3,1569,,,33.8,1181,19.9,4388,62270,57148,25,,25.1,15.9,1179,,876,3508,8
1113,19,2689,,,17.2,1766,15,8715,48106,34.4,4881,,,33.2,3422,22.8,13199,56518,52312,26.7,,25.2,18.9,3785,,2594,10957,2
1115,9.9,2052,,,9,1400,8.4,7883,72699,18.7,3876,,,18,2812,13.2,12295,83999,78349,14.3,,13.5,10.8,2964,,2106,10089,1
1117,7.2,3717,,,6.5,2571,7.2,16500,84649,11.6,5933,,,10.9,4285,9.6,21914,95911,90280,9.4,,8.7,8.4,4825,,3428,19207,1
1119,33.9,766,,,25.4,419,26.9,2892,32535,56.9,1284,,,52.4,867,40.1,4322,41507,37021,45.4,,38.9,33.5,1025,,643,3607,8
1121,16.2,2638,,,14,1660,14,10945,55623,29.4,4764,,,28.4,3368,20,15713,63359,59491,22.8,,21.2,17,3701,,2514,13329,4
1123,15.1,1198,,,14.7,885,11.7,4690,56615,30.1,2396,,,29.9,1801,18.5,7392,64551,60583,22.6,,22.3,15.1,1797,,1343,6041,6
1125,19.6,9287,,,16.3,5705,17,36618,57987,28,13311,,,25.5,8963,21.4,46240,64247,61117,23.8,,20.9,19.2,11299,,7334,41429,2
1127,17.9,2585,,,16.9,1780,14.6,9251,53220,28.7,4147,,,28.1,2954,20.4,12947,62680,57950,23.3,,22.5,17.5,3366,,2367,11099,1
1129,18.5,587,,,18.9,426,14.6,2163,50928,33.9,1077,,,35.9,810,22.8,3393,63694,57311,26.2,,27.4,18.7,832,,618,2778,8
