fips_code,Civilian_labor_force_2023,Employed_2023,Metro_2023,Rural_Urban_Continuum_Code_2023,Unemployed_2023,Unemployment_rate_2023
17061,5803,5545,0,8,258,4.4
17063,26233,25038,1,1,1195,4.6
17065,4332,4168,0,9,164,3.8
17067,7901,7578,0,9,323,4.1
17069,1443,1363,0,9,80,5.5
17071,3517,3371,0,9,146,4.2
17073,23658,22487,1,2,1171,4.9
17075,12913,12319,0,8,594,4.6
17077,27151,25958,0,5,1193,4.4
17079,4841,4646,0,9,195,4
17081,16291,15524,0,7,767,4.7
17083,10702,10285,1,1,417,3.9
17085,10609,10176,0,8,433,4.1
17087,4104,3865,0,8,239,5.8
17089,266988,253340,1,1,13648,5.1
17091,51960,48925,1,3,3035,5.8
17093,72627,69846,1,1,2781,3.8
17095,20108,19003,0,4,1105,5.5
17097,366879,348404,1,1,18475,5
17099,51410,48433,0,4,2977,5.8
17101,5056,4786,0,9,270,5.3
17103,16805,16066,0,6,739,4.4
17105,16136,15478,0,6,658,4.1
17107,11345,10811,0,6,534,4.7
17109,12780,12188,0,7,592,4.6
17111,169714,163379,1,1,6335,3.7
17113,90686,87190,1,3,3496,3.9
17115,45206,42474,1,3,2732,6
17117,22355,21437,1,1,918,4.1
17119,132488,127016,1,1,5472,4.1
17121,16872,16050,0,7,822,4.9
17123,5145,4878,1,2,267,5.2
17125,5929,5620,0,8,309,5.2
17127,5378,5107,1,3,271,5
17129,6193,5951,1,3,242,3.9
17131,7546,7191,1,2,355,4.7
17133,18849,18270,1,1,579,3.1
17135,11368,10792,0,6,576,5.1
17137,15579,14929,0,4,650,4.2
17139,7201,6940,0,8,261,3.6
17141,23807,22525,0,6,1282,5.4
17143,82402,77895,1,2,4507,5.5
17145,7734,7324,0,7,410,5.3
17147,8803,8470,1,3,333,3.8
17149,6704,6399,0,9,305,4.5
17151,1799,1728,0,8,71,3.9
17153,1644,1518,0,8,126,7.7
17155,2963,2796,0,8,167,5.6
17157,13336,12802,0,6,534,4
17159,7255,6949,0,7,306,4.2
17161,67181,63749,1,2,3432,5.1
17163,124359,118597,1,1,5762,4.6
17165,9590,9113,0,7,477,5
17167,97376,93210,1,3,4166,4.3
17169,3160,3023,0,9,137,4.3
17171,2292,2175,0,9,117,5.1
17173,9921,9489,0,8,432,4.4
17175,2410,2275,1,2,135,5.6
17177,20962,19909,0,4,1053,5
17179,62018,59204,1,2,2814,4.5
17181,7109,6722,0,6,387,5.4
17183,31898,30042,0,4,1856,5.8
17185,5547,5357,0,7,190,3.4
17187,8007,7672,0,6,335,4.2
17189,9708,9440,0,8,268,2.8
17191,6925,6609,0,9,316,4.6
17193,6074,5824,0,6,250,4.1
17195,27535,26252,0,4,1283,4.7
17197,367740,352251,1,1,15489,4.2
17199,31045,29675,0,5,1370,4.4
17201,132003,123860,1,2,8143,6.2
17203,18286,17558,1,2,728,4
